"lineRef","stopPointRef","serviceJourneyId","aimedDepartureTime","departureTime","aimedArrivalTime","arrivalTime","dayOfTheWeek","operatingDate","directionRef","sequenceNr"
"SKY:Line:16E","NSR:Quay:53899","18005755_185556","2025-01-27T05:27:00.000Z","2025-01-27T05:27:01.000Z","2025-01-27T05:27:00.000Z","2025-01-27T05:26:38.000Z",1,"2025-01-27","2",19
"SKY:Line:5","NSR:Quay:53898","18186354_186818","2025-01-27T05:27:00.000Z","2025-01-27T05:27:15.000Z","2025-01-27T05:27:00.000Z","2025-01-27T05:26:58.000Z",1,"2025-01-27","1",10
"SKY:Line:16E","NSR:Quay:53898","18005608_185556","2025-01-27T05:27:00.000Z","2025-01-27T05:27:18.000Z","2025-01-27T05:27:00.000Z","2025-01-27T05:27:02.000Z",1,"2025-01-27","1",22
"SKY:Line:5","NSR:Quay:53899","18186459_186818","2025-01-27T05:31:00.000Z","2025-01-27T05:32:14.000Z","2025-01-27T05:31:00.000Z","2025-01-27T05:31:40.000Z",1,"2025-01-27","2",24
"SKY:Line:12","NSR:Quay:53899","18004785_185543","2025-01-27T05:32:00.000Z","2025-01-27T05:36:40.000Z","2025-01-27T05:32:00.000Z","2025-01-27T05:36:24.000Z",1,"2025-01-27","1",24
"SKY:Line:16E","NSR:Quay:53899","18005670_185556","2025-01-27T05:32:00.000Z","2025-01-27T05:33:36.000Z","2025-01-27T05:32:00.000Z","2025-01-27T05:33:06.000Z",1,"2025-01-27","2",19
"SKY:Line:5","NSR:Quay:53898","18186355_186818","2025-01-27T05:32:00.000Z","2025-01-27T05:33:21.000Z","2025-01-27T05:32:00.000Z","2025-01-27T05:33:07.000Z",1,"2025-01-27","1",10
"SKY:Line:16E","NSR:Quay:53899","18005756_185556","2025-01-27T05:37:00.000Z","2025-01-27T05:35:50.000Z","2025-01-27T05:37:00.000Z","2025-01-27T05:35:24.000Z",1,"2025-01-27","2",19
"SKY:Line:6","NSR:Quay:53898","18004423_185541","2025-01-27T05:37:00.000Z","2025-01-27T05:37:45.000Z","2025-01-27T05:37:00.000Z","2025-01-27T05:37:33.000Z",1,"2025-01-27","1",12
"SKY:Line:16E","NSR:Quay:53898","18005609_185556","2025-01-27T05:37:00.000Z","2025-01-27T05:36:59.000Z","2025-01-27T05:37:00.000Z","2025-01-27T05:36:40.000Z",1,"2025-01-27","1",22
"SKY:Line:6","NSR:Quay:53899","18004522_185541","2025-01-27T05:39:00.000Z","2025-01-27T05:40:19.000Z","2025-01-27T05:39:00.000Z",,1,"2025-01-27","2",19
"SKY:Line:12","NSR:Quay:53898","18004683_185543","2025-01-27T05:41:00.000Z","2025-01-27T05:42:51.000Z","2025-01-27T05:41:00.000Z","2025-01-27T05:42:11.000Z",1,"2025-01-27","2",17
"SKY:Line:16E","NSR:Quay:53899","18005671_185556","2025-01-27T05:42:00.000Z","2025-01-27T05:40:49.000Z","2025-01-27T05:42:00.000Z","2025-01-27T05:40:14.000Z",1,"2025-01-27","2",19
"SKY:Line:5","NSR:Quay:53898","18186356_186818","2025-01-27T05:42:00.000Z","2025-01-27T05:42:43.000Z","2025-01-27T05:42:00.000Z","2025-01-27T05:42:25.000Z",1,"2025-01-27","1",10
"SKY:Line:12","NSR:Quay:53899","18004685_185543","2025-01-27T05:42:00.000Z","2025-01-27T05:43:03.000Z","2025-01-27T05:42:00.000Z","2025-01-27T05:42:37.000Z",1,"2025-01-27","1",24
"SKY:Line:6","NSR:Quay:53898","18004424_185541","2025-01-27T05:47:00.000Z","2025-01-27T05:49:49.000Z","2025-01-27T05:47:00.000Z","2025-01-27T05:49:24.000Z",1,"2025-01-27","1",12
"SKY:Line:16E","NSR:Quay:53899","18005757_185556","2025-01-27T05:47:00.000Z","2025-01-27T05:48:41.000Z","2025-01-27T05:47:00.000Z","2025-01-27T05:48:08.000Z",1,"2025-01-27","2",19
"SKY:Line:16E","NSR:Quay:53898","18005610_185556","2025-01-27T05:50:00.000Z","2025-01-27T05:48:55.000Z","2025-01-27T05:50:00.000Z","2025-01-27T05:48:13.000Z",1,"2025-01-27","1",22
"SKY:Line:5","NSR:Quay:53899","18186460_186818","2025-01-27T05:51:00.000Z","2025-01-27T05:51:47.000Z","2025-01-27T05:51:00.000Z","2025-01-27T05:51:20.000Z",1,"2025-01-27","2",24
"SKY:Line:12","NSR:Quay:53899","18004786_185543","2025-01-27T05:52:00.000Z","2025-01-27T05:52:01.000Z","2025-01-27T05:52:00.000Z",,1,"2025-01-27","1",24
"SKY:Line:16E","NSR:Quay:53899","18005672_185556","2025-01-27T05:52:00.000Z","2025-01-27T05:51:36.000Z","2025-01-27T05:52:00.000Z","2025-01-27T05:50:58.000Z",1,"2025-01-27","2",19
"SKY:Line:5","NSR:Quay:53898","18186357_186818","2025-01-27T05:52:00.000Z","2025-01-27T05:53:42.000Z","2025-01-27T05:52:00.000Z","2025-01-27T05:53:26.000Z",1,"2025-01-27","1",10
"SKY:Line:6","NSR:Quay:53898","18004425_185541","2025-01-27T05:57:00.000Z","2025-01-27T05:59:18.000Z","2025-01-27T05:57:00.000Z","2025-01-27T05:59:00.000Z",1,"2025-01-27","1",12
"SKY:Line:16E","NSR:Quay:53899","18005758_185556","2025-01-27T05:57:00.000Z","2025-01-27T05:56:11.000Z","2025-01-27T05:57:00.000Z","2025-01-27T05:55:46.000Z",1,"2025-01-27","2",19
"SKY:Line:6","NSR:Quay:53899","18004523_185541","2025-01-27T05:59:00.000Z","2025-01-27T05:59:41.000Z","2025-01-27T05:59:00.000Z","2025-01-27T05:59:25.000Z",1,"2025-01-27","2",19
"SKY:Line:16E","NSR:Quay:53898","18005611_185556","2025-01-27T06:00:00.000Z","2025-01-27T05:59:30.000Z","2025-01-27T06:00:00.000Z","2025-01-27T05:59:02.000Z",1,"2025-01-27","1",22
"SKY:Line:12","NSR:Quay:53898","18004806_185543","2025-01-27T06:01:00.000Z","2025-01-27T06:03:13.000Z","2025-01-27T06:01:00.000Z","2025-01-27T06:02:51.000Z",1,"2025-01-27","2",17
"SKY:Line:12","NSR:Quay:53899","18004686_185543","2025-01-27T06:02:00.000Z","2025-01-27T06:03:52.000Z","2025-01-27T06:02:00.000Z","2025-01-27T06:03:38.000Z",1,"2025-01-27","1",24
"SKY:Line:5","NSR:Quay:53898","18186358_186818","2025-01-27T06:02:00.000Z","2025-01-27T06:02:14.000Z","2025-01-27T06:02:00.000Z","2025-01-27T06:02:01.000Z",1,"2025-01-27","1",10
"SKY:Line:16E","NSR:Quay:53899","18005673_185556","2025-01-27T06:02:00.000Z","2025-01-27T06:03:23.000Z","2025-01-27T06:02:00.000Z",,1,"2025-01-27","2",19
"SKY:Line:6","NSR:Quay:53898","18004426_185541","2025-01-27T06:07:00.000Z","2025-01-27T06:08:56.000Z","2025-01-27T06:07:00.000Z","2025-01-27T06:08:33.000Z",1,"2025-01-27","1",12
"SKY:Line:16E","NSR:Quay:53899","18005759_185556","2025-01-27T06:07:00.000Z","2025-01-27T06:06:31.000Z","2025-01-27T06:07:00.000Z","2025-01-27T06:06:05.000Z",1,"2025-01-27","2",19
"SKY:Line:16E","NSR:Quay:53898","18005612_185556","2025-01-27T06:10:00.000Z","2025-01-27T06:09:44.000Z","2025-01-27T06:10:00.000Z","2025-01-27T06:09:14.000Z",1,"2025-01-27","1",22
"SKY:Line:12","NSR:Quay:53898","18004736_185543","2025-01-27T06:11:00.000Z","2025-01-27T06:16:32.000Z","2025-01-27T06:11:00.000Z","2025-01-27T06:16:16.000Z",1,"2025-01-27","2",17
"SKY:Line:5","NSR:Quay:53899","18186461_186818","2025-01-27T06:11:00.000Z","2025-01-27T06:11:07.000Z","2025-01-27T06:11:00.000Z","2025-01-27T06:10:41.000Z",1,"2025-01-27","2",24
"SKY:Line:5","NSR:Quay:53898","18186359_186818","2025-01-27T06:12:00.000Z","2025-01-27T06:12:34.000Z","2025-01-27T06:12:00.000Z","2025-01-27T06:12:17.000Z",1,"2025-01-27","1",10
